panel,drug,auc,lo,hi,n_act
PKIS2,GSK2225749,0.5318138651471985,0.43122186049902367,0.6324058697953734,36
PKIS2,GSK2227430,0.48429319371727747,0.23203965690787742,0.7365467305266775,5
PKIS2,GSK2228768,0.5605263157894737,0.3381787098388313,0.7828739217401159,7
PKIS2,GSK223675,0.7791344294003868,0.6157403092679841,0.9425285495327895,11
PKIS2,GSK223810,0.6920441988950277,0.5738965867733866,0.8101918110166687,25
PKIS2,GSK2250882,0.5707885304659498,0.41711358420786476,0.7244634767240348,15
PKIS2,GSK2258759,0.6759162303664922,0.4140520662734424,0.937780394459542,5
PKIS2,GSK2269905,0.41229221347331585,0.1970422254751419,0.6275422014714898,6
PKIS2,GSK2276055,0.4996525096525097,0.40173392609883657,0.5975710932061828,37
PKIS2,GSK2286096,0.6006473953628425,0.4593310786362453,0.7419637120894398,18
PKIS2,GSK2286295,0.6561007957559681,0.46899617101220953,0.8432054204997268,10
PKIS2,GSK2286775,0.6029622551361682,0.4772791747778661,0.7286453354944703,23
PKIS2,GSK2288359,0.5518617021276596,0.3741736237358607,0.7295497805194585,11
PKIS2,GSK2289044,0.7602880658436214,0.5758031311840756,0.9447730005031673,9
PKIS2,GSK2291363,0.49284413218839446,0.3662753443511434,0.6194129200256455,21
PKIS2,GSK2296823,0.6741669858291842,0.516416055149409,0.8319179165089594,14
PKIS2,GSK2297099,0.5601111111111111,0.38934830150268646,0.7308739207195358,12
PKIS2,GSK2297428,0.4504703115814227,0.2666179331897885,0.634322689973057,9
PKIS2,GSK2297430,0.7327209098862643,0.5012879108609778,0.9641539089115507,6
PKIS2,GSK2297542,0.469934890846419,0.3189318371845841,0.6209379445082539,14
PKIS2,GSK2297543,0.961038961038961,0.7730279205714167,1.1490500015065055,2
PKIS2,GSK2298859,0.6174386920980927,0.48310257572237697,0.7517748084738083,20
PKIS2,GSK2299009,0.4513333333333333,0.2912634728957689,0.6114031937708977,12
